contract,view,scope,n,n_patients,boundary_touch_rate,suspected_truncation_rate,severe_truncation_rate,sufficient_containment_rate,exact_full_support_containment_rate,bbox_fully_contained_rate,source_boundary_touch_rate,source_boundary_uncensored_rate,available_support_exact_containment_rate,source_uncensored_and_sufficient_rate,source_uncensored_and_exact_rate,retained_ftv_fraction_median,retained_ftv_fraction_q05,retained_ftv_fraction_min,minimum_margin_mm_median,minimum_margin_mm_q05,ld_margin_spearman,ld_margin_pvalue,ld_margin_n
C0,legacy,OVERALL,1500,375,0.7766666666666666,0.8133333333333334,0.546,0.18666666666666668,0.20466666666666666,0.20466666666666666,0.009333333333333334,0.9906666666666667,0.20466666666666666,0.18666666666666668,0.20466666666666666,0.8611731811516217,0.15616813140716337,0.0,-12.845008373260498,-42.0,-0.12900243770622738,5.947585562882249e-07,1488
C0,legacy,T0,375,375,0.7066666666666667,0.7066666666666667,0.37066666666666664,0.29333333333333333,0.32,0.32,0.0026666666666666666,0.9973333333333333,0.32,0.29333333333333333,0.32,0.9640053744431089,0.5315006285704375,0.2215931276844982,-6.000000238418579,-30.00000035762787,-0.5365690271109904,2.407270594831565e-29,375
C0,legacy,T1,375,375,0.8266666666666667,0.8426666666666667,0.536,0.15733333333333333,0.17066666666666666,0.17066666666666666,0.021333333333333333,0.9786666666666667,0.17066666666666666,0.15733333333333333,0.17066666666666666,0.8617927312589594,0.19852759844894183,0.0,-15.116999745368958,-42.50664076209068,-0.34264899114276487,1.0962003125752323e-11,372
C0,legacy,T2,375,375,0.7813333333333333,0.8426666666666667,0.616,0.15733333333333333,0.16533333333333333,0.16533333333333333,0.008,0.992,0.16533333333333333,0.15733333333333333,0.16533333333333333,0.7902338376891335,0.1206627393225331,0.0,-15.0,-42.900859439373015,-0.18917919646611475,0.00025744343804923723,369
C0,legacy,T3,375,375,0.792,0.8613333333333333,0.6613333333333333,0.13866666666666666,0.16266666666666665,0.16266666666666665,0.005333333333333333,0.9946666666666667,0.16266666666666665,0.13866666666666666,0.16266666666666665,0.732705689725747,0.08510429520388603,0.0,-15.345850169658661,-45.76010958552361,-0.06778665521357898,0.19205547168565565,372
C1A,detail,OVERALL,1500,375,0.0,0.0,0.0,1.0,1.0,1.0,0.009333333333333334,0.9906666666666667,1.0,0.9906666666666667,0.9906666666666667,1.0,1.0,1.0,46.34342496693134,20.11260400012746,-0.3750606700401656,2.6539196043597027e-51,1500
C1A,detail,T0,375,375,0.0,0.0,0.0,1.0,1.0,1.0,0.0026666666666666666,0.9973333333333333,1.0,0.9973333333333333,0.9973333333333333,1.0,1.0,1.0,45.3333339691162,20.86595784068106,-0.5882877264040733,2.74841064762373e-36,375
C1A,detail,T1,375,375,0.0,0.0,0.0,1.0,1.0,1.0,0.021333333333333333,0.9786666666666667,1.0,0.9786666666666667,0.9786666666666667,1.0,1.0,1.0,45.945600390434265,20.133750000000003,-0.4519865973533398,2.7980177688376347e-20,375
C1A,detail,T2,375,375,0.0,0.0,0.0,1.0,1.0,1.0,0.008,0.992,1.0,0.992,0.992,1.0,1.0,1.0,46.6875,19.37824425041675,-0.32780598822241447,7.645312450657192e-11,375
C1A,detail,T3,375,375,0.0,0.0,0.0,1.0,1.0,1.0,0.005333333333333333,0.9946666666666667,1.0,0.9946666666666667,0.9946666666666667,1.0,1.0,1.0,47.41666725277898,20.02060410618781,-0.13718080852364067,0.007809103974665964,375
